"SK_CAMPEONATO","ANO_EDICAO","CAMPEONATO","SK_CLUBE","CLUBE","SK_CLUBE_ADVERSARIO","CLUBE_ADVERSARIO","SK_ESTADIO","ESTADIO","ESQUEMA_TATICO","ESQUEMA_TATICO_ADVERSARIO","TURNO_DIA","CONDICAO","JOGOS","PONTOS","VITORIAS","EMPATES","DERROTAS","GOLS_MARCADOS","GOLS_SOFRIDOS","SALDO_GOLS","CARTOES_AMARELOS","CARTOES_VERMELHOS",
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",5,"ATLÉTICO-MG",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,0,0,0,1,1,2,-1,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",5,"ATLÉTICO-MG",72,"MINEIRÃO","SEM INFORMAÇÃO","SEM INFORMAÇÃO","NOITE","VISITANTE",1,3,1,0,0,2,1,1,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",7,"BAHIA",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,3,1,0,0,2,1,1,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",7,"BAHIA",63,"ARENA FONTE NOVA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","VISITANTE",1,3,1,0,0,2,0,2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",15,"CORINTHIANS",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,3,1,0,0,3,1,2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",15,"CORINTHIANS",54,"PACAEMBU","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","VISITANTE",1,3,1,0,0,3,2,1,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",16,"CORITIBA",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,3,1,0,0,2,0,2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",16,"CORITIBA",34,"COUTO PEREIRA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","NOITE","VISITANTE",1,0,0,0,1,0,2,-2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",17,"CRICIÚMA",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,3,1,0,0,4,2,2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",17,"CRICIÚMA",49,"HERIBERTO HULSE","SEM INFORMAÇÃO","SEM INFORMAÇÃO","NOITE","VISITANTE",1,0,0,0,1,0,2,-2,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",18,"CRUZEIRO",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","TARDE","MANDANTE",1,0,0,0,1,1,4,-3,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",18,"CRUZEIRO",72,"MINEIRÃO","SEM INFORMAÇÃO","SEM INFORMAÇÃO","NOITE","VISITANTE",1,0,0,0,1,2,5,-3,0,0,
81,"2003","CAMPEONATO BRASILEIRO 2003",3,"ATHLETICO-PR",20,"FIGUEIRENSE",11,"ARENA DA BAIXADA","SEM INFORMAÇÃO","SEM INFORMAÇÃO","NOITE","MANDANTE",1,0,0,0,1,1,2,-1,0,0,
